id,data,siglaOrgao,proposicaoObjeto,descricao,aprovacao
2325264-4,2022-06-01,CIDOSO,REQ 24/2022 CIDOSO,"Aprovado, com a subscrição dos Deputados Merlong Solano (PT-PI) , Delegado Antonio Furtado (União-RJ), Flávia Morais (PDT-GO) e Miguel Lombardi (PL-SP).",1.0
2325211-3,2022-06-01,CIDOSO,REQ 23/2022 CIDOSO,"Aprovado, com a subscrição dos Deputados Miguel Lombardi (PL-SP) e Flávia Morais (PDT-GO). A deputada Flávia Morais solicitou que a Audiência Pública aconteça em conjunto com a Comissão de Seguridade Social, Saúde e Família.  Ademais, a  pedido  do autor do requerimento, houve a inclusão de Representante do Conselho Federal de Educação no rol dos convidados.",1.0
2325200-2,2022-06-01,CIDOSO,REQ 22/2022 CIDOSO,"Aprovado, com a subscrição  do Deputado Merlong Solano (PT-PI) e Miguel Lombardi (PL-SP).",1.0
2325174-2,2022-06-01,CIDOSO,REQ 21/2022 CIDOSO,"Aprovado, com a subscrição dos Deputados Dr. Zacharias Calil ( União-GO) e Miguel Lombardi  (PL-SP).",1.0
2325344-2,2022-06-01,CINDRA,REQ 23/2022 CINDRA,"Aprovado, por unanimidade e subscrito pelo Deputado João Daniel.",1.0
2325044-2,2022-06-01,CINDRA,REQ 21/2022 CINDRA,"Aprovado, por unanimidade e subscrito pelo Deputado João Daniel.",1.0
2324583-2,2022-06-01,CINDRA,REQ 20/2022 CINDRA,"Aprovado e subscrito pelos Deputados João Daniel e Vivi Reis, com o adendo da Professora Suzi Huff Theodoro, pesquisadora em Meio Ambiente e Desenvolvimento Rural da Universidade de Brasília e do Sr. Frederico Bermurdez, Presidente da Associação brasileira dos Produtos de Remineralizadores de Solo e Fertilizantes - Abrefen.",1.0
2324582-2,2022-06-01,CINDRA,REQ 19/2022 CINDRA,"Aprovado, por unanimidade e subscrito pelo Deputado João Daniel.",1.0
2259327-46,2022-06-01,CSSF,,Aprovado o Parecer.,1.0
2200292-28,2022-06-01,CSSF,,Aprovado o Parecer.,1.0
1712413-45,2022-06-01,CSSF,,Aprovado o Parecer.,1.0
2266233-46,2022-05-31,CSPCCO,,Rejeitado o Requerimento de Votação Nominal do Requerimento de adiamento de votação nominal.,0.0
2266233-43,2022-05-31,CSPCCO,,Rejeitado o Requerimento de Retirada de Pauta.,0.0
2186064-28,2022-06-01,CSSF,,Aprovado o Parecer.,1.0
2266233-42,2022-05-31,CSPCCO,,Aprovado o Requerimento de Votação Nominal do Requerimento de Retirada de Pauta.,1.0
2234427-30,2022-06-01,CSSF,,Aprovado o Parecer.,1.0
1215684-64,2022-06-01,CSSF,,Aprovado o Parecer.,1.0
2324888-3,2022-05-31,CSPCCO,REQ 18/2022 CSPCCO,"Aprovado,com a inclusão dos convidados: João Rodrigues, Prefeito de Chapecó - SC; Tatiana, Secretária de Integração da Secretaria de Justiça e Segurança Pública de MG;  Luiz Vecchi, Presidente da FENAGUARDAS; Reinaldo Monteiro, Presidente da AGM Brasil,  Prefeito de Osasco- SP e o Presidente da CNCG.",1.0
2171929-60,2022-06-01,CSSF,,Aprovado o Parecer.,1.0
2324699-3,2022-05-31,CSPCCO,REQ 17/2022 CSPCCO,"Aprovado,com a subscrição dos Deputados Sargento Fahur, Delegado Antonio Furtado,Policial Katia Sastre,Junio Amaral, Luis Miranda, Capitão Derrite e Julian Lemos",1.0
565753-57,2022-06-01,CSSF,,Aprovado o Parecer.,1.0
2324493-4,2022-05-31,CSPCCO,,"Aprovado, com a subscrição do Deputado Luis Miranda  e  com a inclusão dos convidados  VERONICA STIEPANOWEZ DE OLIVEIRA - Delegada de Polícia Civil/RJ; RODOLFO QUEIROZ LATERZA, Presidente da Associação dos Delegados de Polícia do Brasil - ADEPOL DO BRASIL e Ten. Cel. PMERJ MAXWELL DE ARAÚJO - Presidente da Caixa Beneficente da Polícia Militar do Estado do Rio deJaneiro",1.0
2325069-2,2022-06-01,CE,REQ 44/2022 CE,Aprovado.,1.0
496224-115,2022-06-01,CCJC,,Aprovado o Parecer.,1.0
2324062-3,2022-05-31,CSPCCO,REQ 15/2022 CSPCCO,"Aprovado,  com a subscrição dos Deputados Luis Miranda, Sanderson, Subtenente Gonzaga e Delegado Antonio Furtado; com a inclusão dos convidados Islene Gomes Mateus Castelo Branco e Ravan Leao, agentes socioeducativos do DF",1.0
2324913-7,2022-06-01,CE,REQ 42/2022 CE,Rejeitado o Requerimento por não ter alcançado maioria de votos: 15 votos contrários e 15 votos favoráveis.,0.0
2280509-31,2022-06-01,CCJC,,Aprovado o Parecer.,1.0
2325202-3,2022-06-01,CCTCI,REQ 27/2022 CCTCI,"Aprovado, subscrito pelo Deputado Merlong Solano.",1.0
2325053-4,2022-06-01,CCTCI,,"Aprovado, subscrito pelos Deputados Merlong Solano e Sandro Alex, com aditamento para inclusão, na relação de convidados, dos Srs. Sidney Sanches, presidente do Instituto de Advogados do Brasil; e Ygor Valério, da Motion Picture Association; e de representante do Projeto Remix - Direito Autoral pra Geral.",1.0
2092057-59,2022-06-01,CCJC,,"Aprovado o Parecer, contra o voto do Partido dos Trabalhadores.",1.0
2324368-3,2022-06-01,CCTCI,REQ 25/2022 CCTCI,"Aprovado, subscrito pela Deputada Luiza Erundina, com aditamento para transformação da convocação em convite.",1.0
2324326-3,2022-06-01,CCTCI,REQ 24/2022 CCTCI,"Aprovado, com aditamento para transformação da convocação em convite.",1.0
2324107-3,2022-06-01,CCTCI,REQ 23/2022 CCTCI,"Aprovado, subscrito pelos Deputados Amaro Neto e Félix Mendonça Júnior, com aditamento para inclusão, na relação dos convidados, do Sr. Mario Sarrubbo, Procurador-Geral de Justiça de São Paulo, e de representantes da Associação Nacional de Jornais (ANJ) e da Associação Brasileira das Emissoras de Rádio e Televisão (Abert).",1.0
2325166-4,2022-06-01,CSSF,REQ 85/2022 CSSF,"Rejeitado o Requerimento de convocação do ministro de Estado da Saúde, em votação nominal. Resultado: Sim - 13; Não - 24; Abstenção - 0. Total - 37. Subscreveram o Requerimento os Deputados Alexandre Padilha, Rejane Dias, Vivi Reis e Benedita da Silva.",0.0
2323398-3,2022-06-01,CCTCI,REQ 21/2022 CCTCI,"Aprovado, subscrito pelo Deputado Merlong Solano.",1.0
2278639-45,2022-06-01,CCJC,,"Rejeitado o Requerimento de Retirada de Pauta. Resultado: Sim, 10; Não, 26; Abstenção: 0. Total: 36.",0.0
2264286-57,2022-06-01,CCJC,,"Rejeitado o Requerimento de Retirada de Pauta. Resultado: Sim, 8; Não, 30; Abstenção: 0. Total: 38.",0.0
2302432-33,2022-06-01,CAPADR,,Aprovado o Parecer.,1.0
2261942-32,2022-06-01,CMADS,,Aprovado o Parecer.,1.0
2324913-4,2022-06-01,CE,REQ 42/2022 CE,Rejeitado o Requerimento de Retirada de Pauta.,0.0
2325242-2,2022-06-01,CSSF,REQ 89/2022 CSSF,Aprovado.,1.0
2324539-2,2022-06-01,CSSF,REQ 81/2022 CSSF,Aprovado.,1.0
2324538-2,2022-06-01,CSSF,REQ 80/2022 CSSF,Aprovado.,1.0
2324459-2,2022-06-01,CSSF,REQ 79/2022 CSSF,Aprovado.,1.0
2324457-2,2022-06-01,CSSF,REQ 78/2022 CSSF,"Aprovado, com subscrição do Deputado Alexandre Padilha.",1.0
2324370-2,2022-06-01,CSSF,REQ 77/2022 CSSF,"Aprovado, com subscrição do Deputado Alexandre Padilha.",1.0
2324212-2,2022-06-01,CSSF,REQ 75/2022 CSSF,Aprovado.,1.0
2323985-2,2022-06-01,CSSF,REQ 73/2022 CSSF,"Aprovado, com subscrição do Deputado Dr. Zacharias Calil.",1.0
2323841-2,2022-06-01,CSSF,REQ 71/2022 CSSF,Aprovado.,1.0
2323838-2,2022-06-01,CSSF,REQ 70/2022 CSSF,Aprovado.,1.0
2323831-2,2022-06-01,CSSF,REQ 69/2022 CSSF,Aprovado.,1.0
2323822-2,2022-06-01,CSSF,REQ 68/2022 CSSF,Aprovado.,1.0
2325285-2,2022-06-01,CSSF,REQ 93/2022 CSSF,"Aprovado, com subscrição dos Deputados Dr. Zacharias Calil e Daniela do Waguinho.",1.0
2325283-3,2022-06-01,CSSF,REQ 91/2022 CSSF,"Aprovado, com subscrição do Deputado Pastor Sargento Isidório.",1.0
2325244-2,2022-06-01,CSSF,REQ 90/2022 CSSF,"Aprovado, com subscrição do Deputado Jorge Solla.",1.0
2325239-2,2022-06-01,CSSF,REQ 88/2022 CSSF,"Aprovado. Subscreveram o Requerimento os Deputados Alexandre Padilha, Rejane Dias e Vivi Reis.",1.0
2325237-2,2022-06-01,CSSF,REQ 87/2022 CSSF,"Aprovado. Subscreveram o Requerimento os Deputados Dr. Zacharias Calil, Alexandre Padilha e Jorge Solla.",1.0
2324897-2,2022-06-01,CSSF,REQ 84/2022 CSSF,"Aprovado, com subscrição da Deputada Vivi Reis.",1.0
2324894-2,2022-06-01,CSSF,REQ 83/2022 CSSF,"Aprovado, com subscrição das Deputadas Jandira Feghali e Benedita da Silva.",1.0
2324688-2,2022-06-01,CSSF,REQ 82/2022 CSSF,"Aprovado, com a inclusão pelo autor de representantes do Ministério da Saúde, da Casa Civil da Presidência da República, da Associação Brasileira de Hematologia, Hemoterapia e Terapia Celular (ABHH) e da Federação Nacional das Associações de Pessoas com Doença Falciforme (FENAFAL).",1.0
2325203-2,2022-06-01,CE,REQ 46/2022 CE,Aprovado.,1.0
2324916-2,2022-06-01,CE,REQ 43/2022 CE,"Aprovado, com a inclusão do Professor Sérgio Firpo e de representantes do D3e e do Movimento Livres, por solicitação do autor.",1.0
2324367-2,2022-06-01,CE,REQ 41/2022 CE,Aprovado.,1.0
2323483-3,2022-06-01,CE,REQ 35/2022 CE,Aprovado.,1.0
2324365-4,2022-06-01,CSSF,REQ 76/2022 CSSF,"Aprovado. Subscreveram o Requerimento os Deputados Alexandre Padilha, Rejane Dias, Jandira Feghali, Jorge Solla e Vivi Reis.",1.0
2324059-3,2022-06-01,CSSF,REQ 74/2022 CSSF,"Aprovado. Subscreveram o Requerimento os Deputados Alexandre Padilha, Jorge Solla, Benedita da Silva e Dulce Miranda. Aprovada a inclusão, apresentada pelo Deputado Alexandre Padilha, dos seguintes convidados: Léo Pinho, presidente da Associação Brasileira de Saúde Mental (ABRASME), Roberto Tykanori, professor da Universidade Federal de São Paulo (Unifesp) e Eduardo Suplicy (vereador-SP). Aprovada a inclusão, apresentada pela Deputada Vivi Reis, de representante da Defensoria Pública da União.",1.0
2152247-44,2022-06-01,CMADS,,Aprovado o Parecer.,1.0
2323847-3,2022-06-01,CSSF,REQ 72/2022 CSSF,Aprovado.,1.0
2323759-2,2022-06-01,CSSF,REQ 67/2022 CSSF,"Aprovado, com subscrição do Deputado Ossesio Silva.",1.0
2323601-2,2022-06-01,CSSF,REQ 66/2022 CSSF,"Aprovado. Subscreveram o Requerimento os Deputados Jandira Feghali, Jorge Solla e Benedita da Silva.",1.0
2197678-34,2022-06-01,CDEICS,,Aprovado o Parecer.,1.0
2323014-3,2022-06-01,CSSF,REQ 55/2022 CSSF,"Aprovado. Subscreveram o Requerimento os Deputados Adriana Ventura, Dr. Zacharias Calil, Daniela do Waguinho, Alexandre Padilha, Jandira Feghali, Eduardo Barbosa, Ossesio Silva e Dulce Miranda. Aprovada a inclusão de representante do Ministério da Saúde, apresentada pelo Deputado Eduardo Barbosa.",1.0
2320202-18,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2320183-18,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2320182-18,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2320092-18,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2317967-18,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2295022-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2290441-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2288580-21,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2287832-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2286228-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2285571-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2284071-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2281224-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2250270-22,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2250238-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2247390-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2247304-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2247191-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2247162-21,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2242902-20,2022-06-01,CCTCI,,Aprovado o Parecer.,1.0
2190621-35,2022-06-01,CMADS,,Aprovado o Parecer.,1.0
542454-42,2022-06-01,CCJC,,"Rejeitado o Requerimento de Retirada de Pauta. Resultado: Sim, 3; Não, 33; Abstenção: 0. Total: 36.",0.0
2324198-2,2022-06-01,CE,REQ 40/2022 CE,"Aprovado, com o voto contrário do Deputado Tiago Mitraud.",1.0
2320509-5,2022-06-01,CCTCI,,"Aprovado requerimento n. 27/2022 do Sr. Milton Coelho que requer que a realização da Audiência Pública com o Ministro das Comunicações para discutir o planejamento da pasta para o ano de 2022 aprovada por meio do Req. 2/2022 CCTCI seja feita em conjunto com a CREDN, CFFC e CINDRA.",1.0
540979-92,2022-06-01,CAPADR,,Aprovado o Parecer.,1.0
2325276-2,2022-06-01,CE,REQ 50/2022 CE,Aprovado.,1.0
2325275-2,2022-06-01,CE,REQ 49/2022 CE,Aprovado.,1.0
2325267-2,2022-06-01,CE,REQ 48/2022 CE,Aprovado.,1.0
2325266-2,2022-06-01,CE,REQ 47/2022 CE,Aprovado.,1.0
2325114-2,2022-06-01,CE,REQ 45/2022 CE,Aprovado.,1.0
2322550-3,2022-06-01,CME,REQ 14/2022 CME,Aprovado.,1.0
2324143-2,2022-06-01,CE,REQ 39/2022 CE,Aprovado.,1.0
2323484-2,2022-06-01,CE,REQ 36/2022 CE,"Aprovado, com a inclusão da ANUP, por solicitação do Deputado Tiago Mitraud.",1.0
2323483-2,2022-06-01,CE,REQ 35/2022 CE,"Aprovado, com inclusão da CNTE, UNE e UBES, por solicitação do Deputado Pedro Uczai; e da Senhora Ana Hellen de Souza, por solicitação do Deputado Idilvan Alencar.",1.0
2323482-2,2022-06-01,CE,REQ 34/2022 CE,Aprovado.,1.0
2323480-2,2022-06-01,CE,REQ 33/2022 CE,"Aprovado, com a inclusão da Senhora Jaqueline Moll e do Instituto Sonho Grande, por solicitação dos Deputados Pedro Uczai e Idilvan Alencar, respectivamente.",1.0
2323478-2,2022-06-01,CE,REQ 32/2022 CE,"Aprovado, com a inclusão da ANUP, por solicitação do Deputado Tiago Mitraud.",1.0
2323476-2,2022-06-01,CE,REQ 30/2022 CE,Aprovado.,1.0
2323474-2,2022-06-01,CE,REQ 29/2022 CE,"Aprovado, com a inclusão do sr. Márcio Brito, Secretário Executivo de Cooperação com os Municípios da Secretaria da Educação do Governo do Estado do Ceará, por solicitação do Deputado Idilvan Alencar.",1.0
2323340-2,2022-06-01,CE,REQ 28/2022 CE,"Aprovado, com a inclusão da Campanha Nacional pelo Direito à Educação, por solicitação do autor.",1.0
2288021-58,2022-06-01,CE,,Aprovado o Parecer.,1.0
2323477-2,2022-06-01,CE,REQ 31/2022 CE,"Aprovado, com a inclusão de representantes do FUST   e do TCU, por solicitação dos Deputados Tiago Mitraud e Tabata Amaral, respectivamente.",1.0
2324530-2,2022-06-01,CMADS,REQ 30/2022 CMADS,Aprovado.,1.0
2324713-2,2022-06-01,CME,REQ 37/2022 CME,Aprovado. Subscrito pelo Deputado Joaquim Passarinho.,1.0
2324419-2,2022-06-01,CME,REQ 34/2022 CME,Aprovado.,1.0
2283051-33,2022-06-01,CE,,"Aprovado o Parecer, com o voto contrário do Deputado Tiago Mitraud.",1.0
